sensor_index,date_created,name,location_type,uptime,latitude,longitude
10614,1526155885,LRAPA-Edgewood Elementary,0,51585,44.006504,-123.08536
10640,1526156366,LRAPA-McKenzie Bridge,0,5154,44.17014,-122.16096
10642,1526156916,LRAPA-4J Facilities,0,13091,44.055725,-123.10415
10644,1526156976,LRAPA-McKenzie Schools,0,37,44.151592,-122.363014
10648,1526160988,LRAPA-Twin Oaks Elementary,0,37694,43.99404,-123.17472
10671,1526161174,LRAPA-Elmira HS,0,38207,44.073837,-123.35885
272943,1744211733,ArloHall Sellwood,0,21692,45.4691,-122.65203
10906,1526504940,NussHaus,0,10665,43.5412,-116.143
11110,1527023297,Grand Coulee,0,54200,47.94209,-119.00114
11120,1527023514,Surrender Point,0,4276,48.376633,-122.2977
273341,1744318485,Adios,0,1526,48.01897,-122.084785
273543,1744402413,Tobacco Valley,0,1944,48.90229,-115.0931
11492,1527893357,Wilsonville Meadows,0,37293,45.31303,-122.74916
11736,1528492148,Si'em Li Lum Gym,0,51801,48.773525,-123.70852
11742,1528492166,Lower Sahtlam,0,41481,48.76635,-123.88139
12014,1529005785,Pine Lake,0,21353,47.585556,-122.04841
274223,1744898778,Copper Springs,0,11729,44.021008,-121.29629
274422,1744988322,Wood Shed,0,298,43.71717,-115.99798
274782,1745261134,EPA RX - 1st,0,924,44.30103,-120.84079
12821,1531329161,Bonny Slope,0,46993,45.538933,-122.7945
12827,1531329209,Squak Mt Issaquah WA,0,1760,47.51719,-122.05628
12917,1531348974,Ogden84th,0,16714,45.643337,-122.5875
13081,1531504692,9MR@Oroville,0,10099,48.929096,-119.31123
275420,1745526947,Crown Point,0,4100,44.535343,-116.054436
13285,1531685111,Phinney Ridge Pea Patch,0,21739,47.672394,-122.36018
275426,1745526952,The Farm at Wood's Creek #1 (NE),0,1132,47.865337,-121.963936
275494,1745580363,Finley,0,65340,43.649155,-121.42968
13661,1532468164,MV Clean Air Ambassador @ Pine Forest ,0,7295,48.4333,-120.24515
13677,1532468279,"MV Clean Air Abassador @ Lost River Runway (2,410ft)",0,5002,48.64882,-120.50004
13927,1533241581,Mukilteo,0,45704,47.915077,-122.310745
13955,1533241669,MV Clean Air Ambassador @ Lazy Cat Ranch W Chewuch (1890 ft),0,10308,48.52456,-120.18743
13975,1533250259,Corvette Dr.,0,1944,48.851,-114.937
14033,1533317978,North Bend Weather,0,2844,47.49899,-121.77815
14057,1533318182,"Hillsdale Estates, Star Idaho",0,2892,43.73669,-116.48916
14109,1533333045,Corbett,0,4248,45.525257,-122.230064
14115,1533333149,Tumble Creek Outdoor,0,2720,47.211323,-121.03063
276264,1745957682,Heron,0,4981,48.070736,-115.97537
276290,1745957695,Cusick School District - NETCHD,0,8297,48.33685,-117.29882
14157,1533334773,Quail Creek - Ames Lake,0,40,47.633007,-121.965675
276310,1745957705,SCFD 13 - NETCHD,0,5443,48.715122,-118.02449
14165,1533408269,Khenipsen rd.,0,40,48.77034,-123.639366
14167,1533408293,Hood River West,0,19925,45.686172,-121.566055
14203,1533408658,Quinault Merc,0,686,47.46693,-123.84705
