STATEFP,ANSICODE,POINTID,FULLNAME,MTFCC,longitude,latitude
16,NA,110681195727,Cottonwood Job Corps Ctr,K2543,-116.427643,46.079861
16,NA,11015504291091,Everett II Heliport,K2460,-114.406266,43.772162
16,NA,11015504291079,Gulch Trust Heliport,K2460,-114.378384,43.704628
16,NA,11015504291064,Picabo Arprt,K2451,-114.062092,43.307669
16,NA,11015504291056,Smiley Creek Arprt,K2451,-114.796055,43.912137
16,NA,11015504291045,Flat Top Airstrip,K2451,-113.92042,43.49378
16,NA,11015504291022,Sluder Airstrip,K2451,-114.271268,43.402948
16,NA,11015504291030,Downey/hyde Memorial/ Arprt,K2451,-112.109555,42.424222
16,NA,11015504291021,Skyline Arprt,K2451,-112.169557,42.779986
16,NA,11015504291006,Lava Hot Springs Arprt,K2451,-112.031185,42.607683
16,NA,11015504291036,Rockford Municipal Arprt,K2451,-112.531805,43.189498
16,NA,11015504291016,McCarley Fld,K2451,-112.349583,43.209249
16,NA,11015504291194,Big Southern Butte Arprt,K2451,-113.055444,43.432583
16,NA,11015504291255,Dworshak Heliport,K2460,-116.293196,46.512124
16,NA,11015504291245,Freeman Creek Arprt,K2451,-116.342335,46.569764
16,NA,11015504291231,Cayuse Creek US Forest Service Arprt,K2451,-115.071905,46.666015
16,NA,11015504291193,Cptpa Headquarters Arprt,K2451,-115.79859,46.616562
16,NA,11015504291216,Mud Lake/west Jefferson County/ Arprt,K2451,-112.501361,43.850943
16,NA,11015504291204,Rigby Arprt,K2451,-111.929305,43.642415
16,NA,11015504291241,Whelan's Heliport,K2460,-116.782084,43.597102
16,NA,11015504291215,Nampa Municipal Arprt,K2451,-116.523055,43.581333
16,NA,11015504291202,Mercy Heliport,K2460,-116.566795,43.552104
16,NA,11015504291196,Sky Ranch South Arprt,K2451,-116.655006,43.504232
16,NA,11015504291190,Sky Ranch North Arprt,K2451,-116.666641,43.508876
16,NA,11015504291155,Foster Field - Skydive Idaho,K2451,-116.521633,43.728204
16,NA,11015504291161,Henry's Lake Arprt,K2451,-111.342694,44.634748
16,NA,11015504481130,Graham US Forest Service Arprt,K2451,-115.271315,43.954609
16,NA,11015504291145,Stanford Fld,K2451,-111.684694,43.950165
16,NA,11015504481109,Weatherby US Forest Service Arprt,K2451,-115.331361,43.825137
16,NA,11015504291271,Dorothy Roeber Memorial Heliport,K2460,-115.1308,43.807198
16,NA,11015504291253,South Fork Ranch Arprt,K2451,-115.105974,43.605882
16,NA,11015504291234,Glenns Ferry Municipal Arprt,K2451,-115.330083,42.943666
16,NA,11015504291220,Health Center Heliport,K2460,-115.305347,42.954062
16,NA,11015504291207,Coyote Run Arprt,K2451,-115.671607,43.075215
16,NA,11015504291201,Pine Arprt,K2451,-115.310027,43.466248
16,NA,11015504291181,Red Baron Airpark,K2451,-115.901224,43.309986
16,NA,11015504291171,P and R Fld,K2451,-115.965668,43.223597
16,00382824,1102653683399,Halfway Sta,C3081,-115.541224,44.778236
16,00383173,1102653630937,High Pt,C3022,-111.555236,44.26797
16,NA,11015504291319,Owen Ranches Incorporated Arprt,K2451,-115.732696,42.795161
16,NA,11015504291306,Grasmere Arprt,K2451,-115.879444,42.373304
16,NA,11015504291285,Homedale Municipal Arprt,K2451,-116.921472,43.614637
16,NA,11015504291278,Sunrise Skypark Arprt,K2451,-116.706183,43.417799
16,NA,11015504291262,Z X Ranch Arprt,K2451,-116.761916,43.229739
16,NA,11015504291256,Murphy Hot Springs Arprt,K2451,-115.335444,42.023554
16,NA,11015504291244,Josephine Ranch Arprt,K2451,-116.676057,42.751264
16,00397047,1102653708034,Pleasant Vly,C3081,-116.247058,43.444611
16,00377263,1102653666794,Beaver Creek Forest Service Sta,C3081,-115.608994,43.966841
16,00394461,1102653699326,South Fork Guard Sta,C3081,-115.578453,45.174073
16,00399749,1102653701529,Vista Village Shopping Ctr,C3081,-116.213172,43.595722
16,00398478,1102653686056,Idaho City Ranger Sta,C3081,-115.838998,43.822949
16,00398477,1102653686292,Idaho State Highway Maintenance Sta,C3081,-115.833505,43.824926
16,00394068,1102653686286,Idaho State Highway Maintenance Sta,C3081,-115.312859,43.493784
16,00386242,1102653691006,Lower Ranger Sta,C3081,-115.59844,44.076286
16,00394031,1102653691026,Lowman Work Ctr,C3081,-115.591495,44.074064
16,00392432,1102653701100,Troutdale Guard Sta,C3081,-115.635644,43.713214
16,00392894,1102653701759,Warm Springs Forest Service Sta,C3081,-115.323153,44.136569
16,00376652,1102653664316,Antelope Guard Sta,C3081,-113.67197,43.66268
16,00394843,1102653667005,Bell Mountain Ranger Sta,C3081,-113.270845,44.172408
16,NA,11015504291160,King Mountain Glider Park,K2451,-113.342613,43.762487
16,00401027,1102653694661,Nampa Shopping Ctr,C3081,-116.600965,43.604605
16,00375664,1102653701286,Univ of Idaho Agr Experimental Sta,C3081,-116.690689,43.617659
16,00378044,1102653669270,Bostetter Forest Service Sta,C3081,-114.163355,42.168802
