STATEFP,ANSICODE,POINTID,FULLNAME,MTFCC,longitude,lattitude
16,00392516,1102653701186,Twin Creek Campground,C3081,-113.969799,45.608252
16,00392517,1102653701187,Twin Creek Campground,C3081,-115.776544,47.086301
16,00395808,1102653701192,Twin Falls County Fairgrounds,C3081,-114.601987,42.571852
16,00399277,1102653701202,Twin Lakes Access Area,C3081,-111.972733,42.202144
16,00392532,1102653701207,Twin Lakes Picnic Area,C3081,-113.624731,42.317689
16,00393808,1102653701217,Twin Peaks Lookout,C3081,-114.476465,44.593529
16,00392538,1102653701224,Twin Peaks Ranch,C3081,-113.988399,44.949091
16,00394423,1102653701229,Twin Peaks Recreation Site,C3081,-114.468687,44.598529
16,00399236,1102653701234,Twin Springs Ranch,C3081,-116.688176,42.294334
16,00399234,1102653701245,Two Lakes Cabin,C3081,-115.117898,46.275472
16,00396549,1102653705402,Gifford,C3081,-116.556536,46.443226
16,00376158,1102653705551,Grand Junction,C3081,-116.973809,47.729068
16,00396617,1102653705764,Harrison,C3081,-116.785456,47.454349
16,00400275,1102653684420,Hillcrest Country Club,C3081,-116.239006,43.585722
16,NA,11015504291233,Rock Creek Farm Arprt,K2451,-116.87168,47.391835
16,00373559,1102653633740,Leslie Butte,C3022,-113.464458,43.840181
16,00373565,1102653633750,Lewiston Hl,C3022,-116.976822,46.463522
16,00397853,1102653633772,Liars Peak,C3022,-111.36276,43.619106
16,00384596,1102653633794,Liberal Mtn,C3022,-114.68617,43.477402
16,00373568,1102653633833,Liberty Butte,C3022,-117.004338,47.166008
16,00396791,1102653633823,Liberty Butte,C3022,-116.754024,43.498491
16,00396792,1102653633843,Lick Creek Pt,C3022,-115.859322,47.166306
16,00396793,1102653633872,Lick Pt,C3022,-115.466796,45.960185
16,00396795,1102653633892,Lightning Creek Rocks,C3022,-115.798728,44.220729
16,00384643,1102653633929,Lightning Mtn,C3022,-116.099336,48.289102
16,00373575,1102653633976,Lightning Peak,C3022,-116.334908,48.41132
16,00384644,1102653633955,Lightning Peak,C3022,-115.128159,44.946854
16,00384646,1102653633981,Lightning Points,C3022,-115.914869,46.744906
16,00373580,1102653633992,Limerock Mtn,C3022,-111.605505,43.011029
16,00384690,1102653634029,Lindstrom Peak,C3022,-116.554053,47.246853
16,00373600,1102653634067,Line Pt,C3022,-116.04927,48.765478
16,00384700,1102653634082,Linfor Hl,C3022,-116.195447,47.601309
16,00786210,1102654128417,Lionhead,C3022,-111.323546501387,44.7285185299065
16,00384706,1102653634113,Lionhead,C3022,-111.32382602826,44.7285210267441
16,00396798,1102653634118,Little Bald Mtn,C3022,-116.578771,47.016845000000004
16,00399953,1102653634129,Little Baldy,C3022,-115.683468,45.936567
16,00384712,1102653634135,Little Baldy,C3022,-115.840722,47.69326
16,00394021,1102653634128,Little Baldy,C3022,-115.43261,44.689348
16,00384715,1102653634170,Little Baldy Mtn,C3022,-111.217722,43.423807
16,00396800,1102653634185,Little Blacktail Mtn,C3022,-116.553806,48.094353
16,00396801,1102653634195,Little Blue Table,C3022,-116.024266,42.316287
16,00384756,1102653634217,Little Butte,C3022,-111.518569,44.263526
16,00396802,1102653634205,Little Butte,C3022,-112.571096,43.528243
16,00373612,1102653634211,Little Butte,C3022,-116.462357,43.934888
16,00373613,1102653634227,Little Buttes,C3022,-111.943302,43.721577
16,00384777,1102653634283,Little Copper Butte,C3022,-115.159285,45.981303
16,00373621,1102653634292,Little Crater,C3022,-111.631616,42.848808
16,00396803,1102653634307,Little Elk Mtn,C3022,-111.321889,43.214362
16,00396804,1102653634327,Little Fiddler,C3022,-115.72093,43.483226
16,00384847,1102653634364,Little Grass Mtn,C3022,-117.02495,48.759922
16,00373629,1102653634378,Little Grassy Butte,C3022,-112.090533,43.987687
16,00395629,1102653634389,Little Grassy Hl,C3022,-115.092833,42.14213
16,00384850,1102653634415,Little Green Mtn,C3022,-116.094313,46.732959
16,00384849,1102653634409,Little Green Mtn,C3022,-115.092614,45.780469
16,00384853,1102653634420,Little Guard Peak,C3022,-116.006006,47.798256
16,00384856,1102653634433,Little Haystack,C3022,-115.949893,47.778812
16,00395631,1102653634460,Little Horse Butte,C3022,-111.704681,43.391027
16,00373648,1102653634477,Little Joe Butte,C3022,-116.009813,43.161944
16,00373649,1102653634512,Little Joe Mtn,C3022,-115.247435857887,47.1537431901834
