id,time_stamp,humidity,temperature,pm2.5_atm,pm2.5_cf_1
27287,2021-11-01T00:00:00Z,51,50,15.5,16.9
27287,2024-04-01T00:00:00Z,37,58,3,3
27287,2023-04-01T00:00:00Z,38,55,2.3,2.3
27287,2023-03-01T00:00:00Z,48,43,2.1,2.1
27287,2024-02-01T00:00:00Z,47,48,4,4
27287,2025-06-01T00:00:00Z,26,79,4.4,4.4
27287,2023-07-01T00:00:00Z,20,89,9.6,9.6
27287,2022-08-01T00:00:00Z,23,90,12.7,13
27287,2020-08-01T00:00:00Z,24,84,23.2,29.6
27287,2021-09-01T00:00:00Z,27,73,21.5,28.2
27287,2024-01-01T00:00:00Z,57,39,19.6,23.9
27287,2022-11-01T00:00:00Z,52,40,17.6,19.4
27287,2021-07-01T00:00:00Z,20,91,29.1,35.9
27287,2022-04-01T00:00:00Z,37,53,2.5,2.5
27287,2020-01-01T00:00:00Z,53,43,5.3,5.4
27287,2020-04-01T00:00:00Z,34,59,3,3
27287,2020-07-01T00:00:00Z,24,84,6.7,6.9
27287,2025-01-01T00:00:00Z,51,37,13.1,13.4
27287,2020-10-01T00:00:00Z,34,60,15.1,19
27287,2024-12-01T00:00:00Z,61,41,20.9,24.5
27287,2024-09-01T00:00:00Z,30,77,23.6,30.6
27287,2022-09-01T00:00:00Z,26,78,28.2,35.7
27287,2022-06-01T00:00:00Z,32,76,2.7,2.7
27287,2024-05-01T00:00:00Z,35,64,3.4,3.4
27287,2023-06-01T00:00:00Z,35,76,6.3,6.4
27287,2023-10-01T00:00:00Z,44,61,9.6,9.8
27287,2023-05-01T00:00:00Z,34,72,6,6.4
27287,2021-04-01T00:00:00Z,28,60,3.2,3.2
27287,2024-08-01T00:00:00Z,23,84,39.2,52.5
27287,2025-04-01T00:00:00Z,34,59,3.9,3.9
27287,2024-06-01T00:00:00Z,26,80,4,4
27287,2023-09-01T00:00:00Z,32,74,43.7,62.2
27287,2025-02-01T00:00:00Z,56,41,7.7,8
27287,2022-02-01T00:00:00Z,47,39,13.3,13.9
27287,2023-02-01T00:00:00Z,44,40,6.1,6.2
27287,2020-05-01T00:00:00Z,34,68,2.3,2.3
27287,2022-03-01T00:00:00Z,38,52,3.7,3.7
27287,2022-12-01T00:00:00Z,56,36,15.8,18.5
27287,2021-02-01T00:00:00Z,49,41,5.9,6
27287,2021-08-01T00:00:00Z,27,82,34.2,43.8
27287,2024-11-01T00:00:00Z,48,46,10.3,11.1
27287,2024-07-01T00:00:00Z,21,90,34.5,44.9
27287,2023-01-01T00:00:00Z,54,39,7.2,7.2
27287,2020-11-01T00:00:00Z,48,46,10.4,10.7
27287,2021-03-01T00:00:00Z,36,51,3.7,3.7
27287,2024-10-01T00:00:00Z,36,62,12.2,12.6
10906,2025-04-01T00:00:00Z,30,63,15.6,17.3
10906,2024-10-01T00:00:00Z,27,68,829.6,1221.3
10906,2021-05-01T00:00:00Z,28,70,3.4,3.9
10906,2023-09-01T00:00:00Z,27,77,7,7.7
10906,2020-05-01T00:00:00Z,66,83,0.2,0.2
10906,2021-09-01T00:00:00Z,23,77,18.8,24.4
10906,2021-11-01T00:00:00Z,39,56,8.3,9
10906,2022-01-01T00:00:00Z,42,40,11.6,12.2
10906,2021-03-01T00:00:00Z,30,56,3.4,4
10906,2024-09-01T00:00:00Z,25,80,27.3,29.1
10906,2023-02-01T00:00:00Z,34,45,3.1,3.4
10906,2024-05-01T00:00:00Z,30,68,3.6,4.2
